feature,coefficient,abs_coefficient
DeltaDec_t-3,2.555293104792895,2.555293104792895
Bz_t-3,1.8745604812755687,1.8745604812755687
Np_t-3,1.3371777446679014,1.3371777446679014
Bz_t-1,-0.9224480865231046,0.9224480865231046
By_t-3,0.7804593678936801,0.7804593678936801
By_t-1,-0.4922834197377328,0.4922834197377328
By_t-2,-0.3504845037308028,0.3504845037308028
Np_t-1,-0.2313425717486566,0.2313425717486566
Np_t-2,-0.13802820600084167,0.13802820600084167
DeltaDec_t-1,-0.09830940980654687,0.09830940980654687
DeltaDec_t-2,0.022985126138473925,0.022985126138473925
Bz_t-2,-0.0,0.0
